State,Label (Grouping),SEX AND AGE!!Total population,SEX AND AGE!!Total population!!Male,SEX AND AGE!!Total population!!Female,SEX AND AGE!!Total population!!18 years and over,SEX AND AGE!!Total population!!18 years and over!!Male,SEX AND AGE!!Total population!!18 years and over!!Female,EDUCATIONAL ATTAINMENT!!Population 25 years and over,EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,"EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher!!Male, high school graduate or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher!!Female, high school graduate or higher",VETERAN STATUS!!Civilian population 18 years and over,VETERAN STATUS!!Civilian population 18 years and over!!Civilian veteran,EMPLOYMENT STATUS!!Population 16 years and over,EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed!!Unemployment Rate,EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,COMMUTING TO WORK!!Workers 16 years and over,"COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van - drove alone","COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van - carpooled",COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),COMMUTING TO WORK!!Workers 16 years and over!!Walked,COMMUTING TO WORK!!Workers 16 years and over!!Other means,COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households,INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!Median household income (dollars),INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With earnings,INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With earnings!!Mean earnings (dollars),INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With Social Security income,INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With Social Security income!!Mean Social Security income (dollars),INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With Supplemental Security Income,INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With Supplemental Security Income!!Mean Supplemental Security Income (dollars),INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With cash public assistance income,INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With cash public assistance income!!Mean cash public assistance income (dollars),INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With retirement income,INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With retirement income!!Mean retirement income (dollars),INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With Food Stamp/SNAP benefits,INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Individuals,INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Individuals!!Per capita income (dollars),"INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Individuals!!With earnings for full-time, year-round workers:!!Male","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Individuals!!With earnings for full-time, year-round workers:!!Female","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Individuals!!Median earnings (dollars) full-time, year-round workers:!!Male","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Individuals!!Median earnings (dollars) full-time, year-round workers:!!Female",HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population,HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With private health insurance,HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With public coverage,HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!No health insurance coverage,POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED!!All people!!18 years and over,VEHICLES AVAILABLE!!Occupied housing units,VEHICLES AVAILABLE!!Occupied housing units!!None,VEHICLES AVAILABLE!!Occupied housing units!!1 or more,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Housing units with a mortgage (excluding units where SMOC cannot be computed),SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Housing units with a mortgage (excluding units where SMOC cannot be computed)!!Less than 30 percent,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Housing units with a mortgage (excluding units where SMOC cannot be computed)!!30 percent or more
Alabama,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±5,963",±0.3,±0.4,±0.4,"±3,735",±0.2,"±4,260",±0.4,±0.4,±0.4,±0.2,±0.3,±0.1,±0.4,"±16,711",±0.6,±0.4,±0.1,±0.1,±0.1,±0.4,±0.3,"±11,475",±727,±0.5,"±1,285",±0.4,±228,±0.3,±264,±0.2,±375,±0.5,±953,±0.4,*****,±383,"±12,391","±11,702",±887,±563,"±2,393",±0.5,±0.4,±0.3,±0.4,"±11,475",±0.3,±0.3,"±12,780",±0.8,±0.8
Alaska,Margin of Error,*****,±0.3,±0.3,±0.2,±0.2,±0.2,"±1,732",±0.7,±0.8,±0.9,"±2,544",±0.6,"±1,907",±1.0,±1.1,±1.2,±0.3,±0.5,±0.4,±1.0,"±6,362",±1.4,±1.1,±0.3,±0.6,±0.6,±0.7,±0.6,"±3,261","±2,804",±1.1,"±2,782",±1.0,±813,±0.6,±925,±0.7,±884,±1.1,"±3,239",±1.1,*****,±986,"±3,867","±3,994","±3,650","±2,558","±2,509",±1.2,±1.2,±0.8,±0.8,"±3,261",±0.8,±0.8,"±4,022",±2.3,±2.3
Arizona,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±3,052",±0.3,±0.4,±0.4,"±3,280",±0.2,"±4,935",±0.3,±0.3,±0.3,±0.1,±0.2,±0.1,±0.3,"±19,569",±0.5,±0.3,±0.1,±0.1,±0.2,±0.4,±0.2,"±11,519",±932,±0.3,"±1,629",±0.3,±222,±0.2,±302,±0.2,±389,±0.5,±840,±0.3,*****,±529,"±16,198","±16,989",±865,±510,"±3,111",±0.5,±0.5,±0.3,±0.4,"±11,519",±0.2,±0.2,"±15,519",±0.7,±0.7
Arkansas,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±5,056",±0.4,±0.5,±0.4,"±2,414",±0.3,"±3,862",±0.5,±0.5,±0.5,±0.2,±0.3,±0.1,±0.5,"±12,532",±0.7,±0.5,±0.1,±0.2,±0.2,±0.4,±0.3,"±8,435",±994,±0.6,"±1,562",±0.5,±302,±0.3,±469,±0.2,±500,±0.6,±979,±0.5,*****,±461,"±8,149","±7,782",±694,±553,"±1,702",±0.8,±0.7,±0.4,±0.6,"±8,435",±0.5,±0.5,"±9,022",±1.2,±1.2
California,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±6,486",±0.1,±0.2,±0.2,"±8,056",±0.1,"±14,148",±0.1,±0.1,±0.2,±0.1,±0.1,±0.1,±0.1,"±52,781",±0.2,±0.1,±0.1,±0.1,±0.1,±0.2,±0.1,"±19,485",±471,±0.2,±740,±0.1,±129,±0.1,±141,±0.1,±122,±0.2,±509,±0.2,*****,±225,"±37,287","±36,109",±564,±560,"±7,600",±0.2,±0.2,±0.1,±0.1,"±19,485",±0.1,±0.1,"±29,519",±0.3,±0.3
Colorado,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±4,595",±0.3,±0.4,±0.4,"±3,668",±0.2,"±4,041",±0.3,±0.3,±0.3,±0.1,±0.2,±0.1,±0.3,"±16,188",±0.5,±0.3,±0.2,±0.2,±0.1,±0.4,±0.3,"±7,807","±1,281",±0.4,"±1,526",±0.3,±293,±0.2,±465,±0.2,±430,±0.4,"±1,054",±0.3,*****,±524,"±9,093","±12,607",±908,±971,"±3,245",±0.5,±0.4,±0.3,±0.3,"±7,807",±0.3,±0.3,"±11,457",±0.8,±0.8
Connecticut,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±2,643",±0.4,±0.5,±0.4,"±1,686",±0.2,"±3,522",±0.4,±0.4,±0.4,±0.2,±0.3,±0.1,±0.4,"±13,832",±0.6,±0.4,±0.3,±0.3,±0.2,±0.4,±0.4,"±7,120","±1,688",±0.5,"±2,539",±0.4,±361,±0.4,±476,±0.3,±634,±0.6,±908,±0.5,*****,±842,"±9,842","±10,675","±1,347",±958,"±1,410",±0.6,±0.6,±0.3,±0.4,"±7,120",±0.5,±0.5,"±9,255",±1.0,±1.0
Delaware,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,±851,±0.6,±0.8,±0.6,±961,±0.4,"±1,817",±0.8,±0.8,±0.9,±0.4,±0.6,±0.1,±0.8,"±7,668",±1.3,±0.7,±0.4,±0.4,±0.3,±1.0,±0.6,"±3,985","±2,002",±0.9,"±3,169",±0.8,±625,±0.6,±803,±0.4,±679,±1.1,"±1,992",±0.8,*****,"±1,101","±4,919","±5,251","±1,832",±995,±962,±1.2,±1.0,±0.6,±0.7,"±3,985",±0.6,±0.6,"±4,750",±1.7,±1.7
Florida,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±6,772",±0.2,±0.2,±0.2,"±6,644",±0.1,"±8,546",±0.2,±0.2,±0.2,±0.1,±0.1,±0.1,±0.2,"±38,721",±0.4,±0.2,±0.1,±0.1,±0.1,±0.3,±0.1,"±23,013",±616,±0.2,±833,±0.2,±125,±0.1,±254,±0.1,±174,±0.2,±529,±0.2,*****,±316,"±24,601","±22,414",±416,±452,"±6,171",±0.3,±0.2,±0.2,±0.2,"±23,013",±0.2,±0.2,"±25,522",±0.4,±0.4
Georgia,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±9,439",±0.2,±0.3,±0.3,"±5,965",±0.2,"±8,015",±0.3,±0.3,±0.3,±0.1,±0.2,±0.1,±0.3,"±23,512",±0.5,±0.3,±0.1,±0.1,±0.1,±0.4,±0.3,"±12,679",±640,±0.3,±995,±0.3,±214,±0.2,±254,±0.1,±407,±0.3,±678,±0.3,*****,±332,"±15,589","±17,047",±989,±641,"±4,386",±0.4,±0.3,±0.2,±0.3,"±12,679",±0.2,±0.2,"±18,479",±0.6,±0.6
