State,Overall - Diabetes-DataValue,est - Workers 16 and Over,est - Workers 16 and Over – Drove Alone - %,est - Workers 16 and Over – Carpooled - %,est - Workers 16 and Over – Public Transit - %,est - Workers 16 and Over – Walked - %,est - Workers 16 and Over – Other Transport - %,est - Workers 16 and Over – Work From Home - %,Workers 16 and Over - That Drive or Carpool,Workers 16 and Over - Public Transit,Workers 16 and Over - Walk,Workers 16 and Over - Other Transport,Workers 16 and Over - WFH,Diabetes Prevalance - People Who Drive to Work,Diabetes Prevalance - People Who Use Public Transit,Diabetes Prevalance - People Who Walk,Diabetes Prevalance - People Who Use Other Transport,Diabetes Prevalance - People Who WFH
Alabama,15.5,2259733,80.5,7.9,0.3,1.2,1.2,8.9,1997603.972,6779.1990000000005,27116.796000000002,27116.796000000002,201116.23700000002,309628.61566,1050.7758450000001,4203.1033800000005,4203.1033800000005,31173.016735000005
Alaska,8.7,359628,64.2,12.3,1.2,7.3,5.5,9.5,275115.42,4315.536,26252.843999999997,19779.54,34164.66,23935.04154,375.45163199999996,2283.9974279999997,1720.81998,2972.32542
Arizona,12.7,3402927,66.1,9.8,0.8,1.7,2.4,19.2,2582821.593,27223.416,57849.759000000005,81670.248,653361.984,328018.342311,3457.373832,7346.919393000001,10372.121496000002,82976.97196800001
Arkansas,15.7,1319868,79.8,8.3,0.3,1.5,1.3,8.8,1162803.7079999999,3959.6040000000003,19798.02,17158.284000000003,116148.384,182560.18215599997,621.657828,3108.28914,2693.8505880000007,18235.296288
California,11.5,18612464,65.5,9.8,2.7,2.4,2.4,17.2,14015185.392,502536.52800000005,446699.136,446699.136,3201343.8079999997,1611746.3200800002,57791.70072000001,51370.40064,51370.40064,368154.53792
Colorado,8.1,3122003,64.7,7.9,1.6,2.5,2.1,21.2,2266574.1780000003,49952.048,78050.075,65562.06300000001,661864.6359999999,183592.50841800004,4046.1158880000003,6322.0560749999995,5310.527103000001,53611.035515999996
Connecticut,10.7,1827542,69.0,7.7,3.3,2.7,1.5,15.9,1401724.714,60308.886000000006,49343.634000000005,27413.129999999997,290579.178,149984.544398,6453.050802000001,5279.768838000001,2933.2049099999995,31091.972046000003
Delaware,13.9,491770,72.8,7.1,1.4,2.1,1.5,15.1,392924.23,6884.779999999999,10327.17,7376.549999999999,74257.27,54616.467970000005,956.9844199999999,1435.4766300000001,1025.34045,10321.760530000001
Florida,12.2,10375718,69.7,9.0,1.2,1.4,2.3,16.4,8165690.066000001,124508.61600000001,145260.052,238641.514,1701617.7519999999,996214.188052,15190.051152,17721.726344,29114.264708,207597.36574399998
Georgia,12.1,5214843,70.5,9.0,1.1,1.3,1.8,16.3,4145800.185,57363.27300000001,67792.959,93867.17400000001,850019.409,501641.822385,6940.956033,8202.948039,11357.928054000002,102852.348489
