State,Overall - Diabetes-DataValue,est - Civilian Noninstitutionalized Pop,est - Pop With Private Health Insurance - %,est - Pop With Public Health Insurance - %,est - Pop Uninsured - %,Pop with Private Health Insurance,Pop with Public Health Insurance,Pop with Health Insurance,Pop with Without Health Insurance,Diabetes Prevalance - Pop with Private Health Insurance,Diabetes Prevalance - Pop with Public Health Insurance,Diabetes Prevalance - Pop with Health Insurance,Diabetes Prevalance - Pop without Health Insurance
Alabama,15.5,4988625,67.0,38.4,8.8,3342378.75,1915632.0,5258010.75,438999.00000000006,518068.70625,296922.96,814991.66625,68044.84500000002
Alaska,8.7,701511,66.4,37.2,11.0,465803.304,260962.09200000003,726765.3960000001,77166.21,40524.887447999994,22703.702004000002,63228.589452,6713.4602700000005
Arizona,12.7,7251924,63.9,38.3,10.3,4633979.436,2777486.8919999995,7411466.327999999,746948.172,588515.388372,352740.835284,941256.2236559999,94862.41784400001
Arkansas,15.7,2991199,60.0,45.0,8.4,1794719.4,1346039.55,3140758.95,251260.71600000001,281770.9458,211328.20935000002,493099.15515,39447.932412
California,11.5,38548670,63.8,40.0,6.5,24594051.46,15419468.0,40013519.46,2505663.5500000003,2828315.9179000002,1773238.82,4601554.7379,288151.30825000006
Colorado,8.1,5742363,70.5,33.3,7.1,4048365.9149999996,1912206.8789999997,5960572.794,407707.773,327917.63911499997,154888.75719899999,482806.396314,33024.329613
Connecticut,10.7,3582236,68.9,37.6,5.2,2468160.6040000003,1346920.736,3815081.34,186276.27200000003,264093.184628,144120.518752,408213.70337999996,19931.561104000004
Delaware,13.9,1005551,71.8,39.5,5.6,721985.618,397192.645,1119178.263,56310.85599999999,100356.00090200001,55209.777655000005,155565.778557,7827.208984
Florida,12.2,21904247,63.6,37.5,11.2,13931101.092,8214092.625,22145193.716999996,2453275.664,1699594.333224,1002119.30025,2701713.6334739993,299299.631008
Georgia,12.1,10718050,66.6,33.0,11.7,7138221.299999999,3536956.5,10675177.8,1254011.8499999999,863724.7772999998,427971.7365,1291696.5138,151735.43384999997
Hawaii,11.7,1383700,75.0,39.4,3.5,1037775.0,545177.7999999999,1582952.8000000003,48429.50000000001,121419.67499999999,63785.80259999999,185205.4776,5666.2515
Idaho,9.9,1911951,68.3,37.2,8.2,1305862.5329999998,711245.7720000001,2017108.305,156779.982,129280.39076699999,70413.33142800002,199693.722195,15521.218218
Illinois,12.0,12413406,69.3,35.8,6.6,8602490.358,4443999.348,13046489.705999998,819284.7960000001,1032298.8429599998,533279.92176,1565578.7647199999,98314.17552
Indiana,12.7,6737570,68.4,36.8,7.0,4608497.88,2479425.76,7087923.640000001,471629.9,585279.23076,314887.07152,900166.3022800001,59896.9973
Iowa,11.6,3153337,73.3,36.8,4.5,2311396.021,1160428.016,3471824.037,141900.165,268121.938436,134609.649856,402731.588292,16460.419139999998
Kansas,11.4,2876222,73.7,31.2,8.6,2119775.614,897381.264,3017156.8780000005,247355.09199999998,241654.419996,102301.464096,343955.8840920001,28198.480487999997
Kentucky,14.8,4428274,62.8,45.2,5.6,2780956.072,2001579.848,4782535.92,247983.34399999998,411581.49865600007,296233.81750400004,707815.31616,36701.534912
Louisiana,14.7,4494008,58.1,47.7,6.9,2611018.648,2143641.816,4754660.464000001,310086.552,383819.741256,315115.346952,698935.0882080001,45582.723144
Maine,11.1,1368026,68.7,40.5,6.6,939833.8620000001,554050.53,1493884.3920000002,90289.716,104321.55868200002,61499.608830000005,165821.167512,10022.158476
