,State,Overall - Diabetes-DataValue,est - Households With Income,est - Households With Earnings - %,est - Median Household Income,est - Households With Social Security Income - %,est - Households With Suppliemental Security Income - %,est - Households With Cash Assistance - %,est - Households With SNAP - %,Households with Earnings,Households with SSI,Households with Supplimential,Households with Cash Assistance,Households with SNAP,Households with Financial Assistant,Diabetes Prevalance - Households with income,Diabetes Prevalance - Households with SSI,Diabetes Prevalance - Households with Supplimental,Diabetes Prevalance - Households with Cash Assistance,Diabetes Prevalance - Households with SNAP,Diabetes Prevalance - Financial Assistant
0,Alabama,15.5,2016448,72.6,59674,35.1,6.6,1.6,14.1,1463941.248,707773.248,133085.568,32263.168,284319.16799999995,1157441.1520000002,226910.89343999999,109704.85344,20628.263039999998,5000.79104,44069.47103999999,179403.37856000004
1,Alaska,8.7,274574,81.3,88121,24.9,3.8,6.2,10.9,223228.66199999998,68368.926,10433.812,17023.588,29928.566,125754.89199999999,19420.893593999997,5948.096562000001,907.741644,1481.052156,2603.785242,10940.675603999998
2,Arizona,12.7,2850377,75.2,74568,33.4,4.0,1.9,10.3,2143483.504,952025.918,114015.08,54157.163,293588.831,1413786.9919999999,272222.40500800003,120907.29158599999,14479.91516,6877.959701,37285.781537,179550.94798399997
3,Arkansas,15.7,1216207,71.9,55432,34.9,6.3,1.9,10.3,874452.8330000001,424456.24299999996,76621.041,23107.933,125269.32100000001,649454.538,137289.09478100002,66639.63015099999,12029.503437,3627.945481,19667.283397000003,101964.36246599999
4,California,11.5,13550586,80.6,91551,28.1,5.7,3.8,12.7,10921772.316,3807714.666,772383.402,514922.268,1720924.422,6815944.758,1256003.81634,437887.18659000006,88824.09123,59216.06082,197906.30853,783833.6471700001
5,Colorado,8.1,2384584,81.7,89302,25.5,3.1,2.2,8.5,1948205.128,608068.92,73922.104,52460.848000000005,202689.64,937141.5119999999,157804.615368,49253.58252,5987.690424,4249.3286880000005,16417.86084,75908.462472
6,Connecticut,10.7,1433635,77.7,88429,31.7,4.6,2.6,12.0,1113934.395,454462.295,65947.20999999999,37274.51,172036.19999999998,729720.215,119190.980265,48627.465565,7056.351469999999,3988.37257,18407.873399999997,78080.06300499999
7,Delaware,13.9,402334,74.0,82174,36.1,4.4,2.1,10.9,297727.16,145242.574,17702.696000000004,8449.014000000001,43854.406,215248.69,41384.07524,20188.717786,2460.674744000001,1174.4129460000001,6095.762434000001,29919.56791
8,Florida,12.2,8826394,73.4,69303,36.4,5.0,2.1,12.3,6478573.196,3212807.4159999997,441319.7,185354.274,1085646.462,4925127.851999999,790385.9299120001,391962.504752,53841.0034,22613.221428,132448.868364,600865.5979439999
9,Georgia,12.1,4092467,79.5,72837,29.3,5.1,1.7,13.2,3253511.265,1199092.831,208715.81699999998,69571.939,540205.644,2017586.231,393674.863065,145090.232551,25254.613856999997,8418.204619,65364.882924,244127.93395099998
10,Hawaii,11.7,494827,77.9,92458,37.4,4.7,4.2,11.7,385470.233,185065.298,23256.869,20782.734,57894.759,286999.66,45100.017261,21652.639866,2721.053673,2431.579878,6773.686803,33578.96021999999
11,Idaho,9.9,717151,77.2,72785,32.8,4.8,2.7,7.3,553640.572,235225.52799999996,34423.248,19363.077,52352.022999999994,341363.87599999993,54810.416628000006,23287.327272,3407.9015520000003,1916.944623,5182.850277,33795.02372399999
12,Illinois,12.0,5056360,77.6,76708,29.3,4.8,2.6,14.6,3923735.3599999994,1481513.48,242705.28,131465.36000000002,738228.5599999999,2593912.68,470848.2431999999,177781.6176,29124.633599999997,15775.843200000001,88587.42719999999,311269.52160000004
13,Indiana,12.7,2726489,77.5,66785,31.1,4.9,1.8,9.2,2113028.975,847938.079,133597.961,49076.802,250836.98799999998,1281449.8299999998,268354.679825,107688.136033,16966.941047,6232.7538540000005,31856.297476,162744.12840999998
14,Iowa,11.6,1330995,77.8,69588,31.5,4.1,1.6,8.5,1035514.11,419263.425,54570.79499999999,21295.920000000002,113134.57500000001,608264.715,120119.63676,48634.55729999999,6330.2122199999985,2470.32672,13123.610700000001,70558.70693999999
15,Kansas,11.4,1175294,78.7,68925,30.6,4.2,1.4,7.0,924956.378,359639.964,49362.348000000005,16454.115999999998,82270.58,507727.00800000003,105445.027092,40998.955896,5627.307672000001,1875.769224,9378.84612,57880.87891200001
16,Kentucky,14.8,1828680,73.2,59341,34.6,7.0,1.6,12.8,1338593.76,632723.28,128007.6,29258.88,234071.04,1024060.8,198111.87648000004,93643.04544000002,18945.124800000005,4330.314240000001,34642.513920000005,151560.99840000004
17,Louisiana,14.7,1816902,73.9,55416,32.1,7.5,1.7,18.4,1342690.5780000002,583225.542,136267.65,30887.334000000003,334309.968,1084690.494,197375.51496600002,85734.15467399999,20031.344549999998,4540.4380980000005,49143.56529599999,159449.50261799997
18,Maine,11.1,605338,73.0,69543,36.3,5.5,2.5,11.3,441896.74,219737.694,33293.590000000004,15133.45,68403.194,336567.92799999996,49050.53814,24390.884034,3695.5884900000005,1679.81295,7592.754534000001,37359.040007999996
19,Maryland,11.9,2375984,80.5,94991,28.7,4.4,2.5,12.0,1912667.12,681907.4079999999,104543.29600000002,59399.600000000006,285118.08,1130968.384,227607.38728000002,81146.981552,12440.652224000003,7068.552400000001,33929.05152,134585.23769600003
