State,Overall - Diabetes-DataValue,est - Total Pop,est - Total Pop 18 and Over - %,est - Pop 18 and Over Below Poverty - %,Total Pop 18 and Over,Total Pop 18 and Over Below Poverty,Total Pop 18 and Over Above Poverty,Diabetes Prevalance - Pop 18 and Over Below Poverty,Diabetes Prevalance - Pop 18 and Over Above Poverty
Alabama,15.5,5074296,78.1,14.6,3963025.1759999995,578601.6756959999,3384423.500304,89683.25973287997,524585.64254712
Alaska,8.7,733583,76.0,10.1,557523.08,56309.83107999999,501213.24892,4898.955303959999,43605.552656039996
Arizona,12.7,7359197,78.4,11.5,5769610.448,663505.20152,5106105.24648,84265.16059304,648475.3663029601
Arkansas,15.7,3045637,77.2,15.2,2351231.764,357387.228128,1993844.5358719998,56109.794816096,313033.592131904
California,11.5,39029342,78.2,11.3,30520945.444000002,3448866.8351720003,27072078.608828,396619.6860447801,3113289.04001522
Colorado,8.1,5839926,79.3,9.0,4631061.318,416795.51862,4214265.79938,33760.43700822,341355.52974977996
Connecticut,10.7,3626205,79.9,9.2,2897337.795,266555.07714,2630782.7178599997,28521.39325398,281493.75081101997
Delaware,13.9,1018396,79.6,8.5,810643.2159999999,68904.67336,741738.5426399999,9577.749597040001,103101.65742696
Florida,12.2,22244823,80.7,11.6,17951572.161000002,2082382.3706760001,15869189.790324003,254050.649222472,1936041.1544195283
Georgia,12.1,10912876,77.0,11.5,8402914.52,966335.1698,7436579.350199999,116926.5555458,899826.1013741998
Hawaii,11.7,1440196,79.4,9.5,1143515.624,108633.98428,1034881.6397200001,12710.17616076,121081.15184724
Idaho,9.9,1939033,76.0,9.9,1473665.08,145892.84292000002,1327772.2370799999,14443.391449080003,131449.45147092
Illinois,12.0,12582032,78.4,10.9,9864313.088,1075210.126592,8789102.961407999,129025.21519104,1054692.3553689597
Indiana,12.7,6833037,77.0,11.6,5261438.49,610326.8648399999,4651111.62516,77511.51183467999,590691.1763953201
Iowa,11.6,3200517,77.6,10.6,2483601.192,263261.72635199997,2220339.4656479997,30538.360256831995,257559.37801516795
Kansas,11.4,2937150,76.6,11.5,2249856.9,258733.5435,1991123.3565,29495.623959,226988.062641
Kentucky,14.8,4512310,77.7,15.2,3506064.87,532921.86024,2973143.00976,78872.43531552001,440025.16544448
Louisiana,14.7,4590241,76.9,16.7,3529895.329,589492.5199429999,2940402.8090569996,86655.40043162099,432239.2129313789
Maine,11.1,1385340,82.3,10.6,1140134.8199999998,120854.29091999998,1019280.5290799999,13414.826292119998,113140.13872788
Maryland,11.9,6164660,78.2,9.1,4820764.12,438689.53492,4382074.585080001,52204.05465548,521466.8756245201
